# ran: examples/color_live.py
# NOTE: this is program OUTPUT; the source is in examples/color_live.py

# examples/color_live.py — stream BOTH colour sensors so surfaces can be compared live.
==========================================================================
COLOUR SENSORS -- LIVE. Hold each surface under sensor C and keep it still.
==========================================================================

  Surfaces that matter: floor | YELLOW note | BLUE tape | SILVER tape
  Watch the 'name' column and the r:g:b ratios, not the raw numbers.

   t(s)  P  color name      refl |   r    g    b    i | r%%   g%%   b%%
  ----------------------------------------------------------------------
    0.0  C    -1 UNKNOWN      1 |    9    7    6   17 | 40.9 31.8 27.3
    0.0  D    -1 UNKNOWN      4 |   33   16   16   51 | 50.8 24.6 24.6
    0.3  C    -1 UNKNOWN      1 |    8    6    6   15 | 40.0 30.0 30.0
    0.3  D    -1 UNKNOWN      4 |   31   15   14   48 | 51.7 25.0 23.3
    0.5  C    -1 UNKNOWN      1 |    7    6    6   15 | 36.8 31.6 31.6
    0.5  D    -1 UNKNOWN      5 |   35   16   16   53 | 52.2 23.9 23.9
    0.8  C    -1 UNKNOWN      1 |    8    6    6   16 | 40.0 30.0 30.0
    0.8  D    -1 UNKNOWN      5 |   35   18   16   54 | 50.7 26.1 23.2
    1.0  C    -1 UNKNOWN      1 |   10    8    8   20 | 38.5 30.8 30.8
    1.0  D    -1 UNKNOWN      5 |   37   18   16   58 | 52.1 25.4 22.5
    1.3  C    -1 UNKNOWN      2 |   13    8    8   23 | 44.8 27.6 27.6
    1.3  D    -1 UNKNOWN      5 |   37   18   16   58 | 52.1 25.4 22.5
    1.5  C    -1 UNKNOWN      2 |   13    8    8   23 | 44.8 27.6 27.6
    1.5  D    -1 UNKNOWN      5 |   36   18   16   55 | 51.4 25.7 22.9
    1.8  C    -1 UNKNOWN      1 |   11    8    8   20 | 40.7 29.6 29.6
    1.8  D    -1 UNKNOWN      5 |   36   17   16   54 | 52.2 24.6 23.2
    2.0  C    -1 UNKNOWN      1 |    9    6    6   16 | 42.9 28.6 28.6
    2.0  D    -1 UNKNOWN      5 |   36   17   16   54 | 52.2 24.6 23.2
    2.3  C    -1 UNKNOWN      1 |    8    6    6   15 | 40.0 30.0 30.0
    2.3  D    -1 UNKNOWN      5 |   40   19   17   60 | 52.6 25.0 22.4
    2.5  C    -1 UNKNOWN      1 |    8    6    6   15 | 40.0 30.0 30.0
    2.5  D    -1 UNKNOWN      5 |   37   17   16   56 | 52.9 24.3 22.9
    2.8  C    -1 UNKNOWN      1 |    8    6    6   16 | 40.0 30.0 30.0
    2.8  D    -1 UNKNOWN      5 |   35   17   16   53 | 51.5 25.0 23.5
    3.0  C    -1 UNKNOWN      1 |   11    8    8   20 | 40.7 29.6 29.6
    3.0  D    -1 UNKNOWN      5 |   36   17   16   54 | 52.2 24.6 23.2
    3.3  C    -1 UNKNOWN      2 |   12    8    8   23 | 42.9 28.6 28.6
    3.3  D    -1 UNKNOWN      5 |   39   18   17   60 | 52.7 24.3 23.0
    3.5  C    -1 UNKNOWN      2 |   13    8    8   23 | 44.8 27.6 27.6
    3.5  D    -1 UNKNOWN      6 |   40   20   17   62 | 51.9 26.0 22.1
    3.8  C    -1 UNKNOWN      2 |   12    8    8   22 | 42.9 28.6 28.6
    3.8  D    -1 UNKNOWN      6 |   41   20   17   62 | 52.6 25.6 21.8
    4.0  C    -1 UNKNOWN      1 |   10    7    8   17 | 40.0 28.0 32.0
    4.0  D    -1 UNKNOWN      5 |   38   18   16   58 | 52.8 25.0 22.2
    4.3  C    -1 UNKNOWN      1 |    8    7    8   17 | 34.8 30.4 34.8
    4.3  D    -1 UNKNOWN      7 |   50   24   21   75 | 52.6 25.3 22.1
    4.5  C    -1 UNKNOWN      1 |   10    7    8   18 | 40.0 28.0 32.0
    4.5  D    -1 UNKNOWN      8 |   56   28   24   85 | 51.9 25.9 22.2
    4.8  C    -1 UNKNOWN      1 |   10    7    8   20 | 40.0 28.0 32.0
    4.8  D    -1 UNKNOWN     10 |   70   33   29  105 | 53.0 25.0 22.0
    5.0  C    -1 UNKNOWN      2 |   13    9    8   23 | 43.3 30.0 26.7
    5.0  D    -1 UNKNOWN      9 |   62   29   26   93 | 53.0 24.8 22.2
    5.3  C    -1 UNKNOWN      2 |   15    9   10   26 | 44.1 26.5 29.4
    5.3  D    -1 UNKNOWN      9 |   67   33   28  100 | 52.3 25.8 21.9
    5.5  C    -1 UNKNOWN      2 |   15    9   10   27 | 44.1 26.5 29.4
    5.5  D    -1 UNKNOWN     11 |   79   38   33  119 | 52.7 25.3 22.0
    5.8  C    -1 UNKNOWN      2 |   14    9    8   25 | 45.2 29.0 25.8
    5.8  D    -1 UNKNOWN     22 |  151   76   66  231 | 51.5 25.9 22.5
    6.0  C    -1 UNKNOWN      1 |    9    6    6   15 | 42.9 28.6 28.6
    6.0  D    -1 UNKNOWN      6 |   42   21   17   65 | 52.5 26.3 21.3
    6.3  C    -1 UNKNOWN      1 |    7    5    6   13 | 38.9 27.8 33.3
    6.3  D    -1 UNKNOWN      2 |   20    9    9   30 | 52.6 23.7 23.7
