# ran: examples/color_live.py
# NOTE: this is program OUTPUT; the source is in examples/color_live.py

# examples/color_live.py — stream BOTH colour sensors so surfaces can be compared live.
==========================================================================
COLOUR SENSORS -- LIVE. Hold each surface under sensor C and keep it still.
==========================================================================

  Surfaces that matter: floor | YELLOW note | BLUE tape | SILVER tape
  Watch the 'name' column and the r:g:b ratios, not the raw numbers.

   t(s)  P  color name      refl |   r    g    b    i | r%%   g%%   b%%
  ----------------------------------------------------------------------
    0.0  C     0 BLACK       22 |   98  100  103  234 | 32.6 33.2 34.2
    0.0  D     0 BLACK       22 |   97  101  106  235 | 31.9 33.2 34.9
    0.3  C     0 BLACK       22 |   97   98  103  233 | 32.6 32.9 34.6
    0.3  D     0 BLACK       22 |   97  101  106  235 | 31.9 33.2 34.9
    0.5  C     0 BLACK       22 |   98  100  103  234 | 32.6 33.2 34.2
    0.5  D     0 BLACK       22 |   96   98  104  231 | 32.2 32.9 34.9
    0.8  C     0 BLACK       22 |   98  100  103  234 | 32.6 33.2 34.2
    0.8  D     0 BLACK       22 |   97  101  106  235 | 31.9 33.2 34.9
    1.0  C     0 BLACK       22 |   98   98  103  233 | 32.8 32.8 34.4
    1.0  D     0 BLACK       22 |   97   99  106  233 | 32.1 32.8 35.1
    1.3  C     0 BLACK       22 |   97   98  103  233 | 32.6 32.9 34.6
    1.3  D     0 BLACK       22 |   96   99  106  233 | 31.9 32.9 35.2
    1.5  C     0 BLACK       22 |   98   98  103  234 | 32.8 32.8 34.4
    1.5  D     0 BLACK       22 |   97   99  106  234 | 32.1 32.8 35.1
    1.8  C     0 BLACK       22 |   98  100  103  235 | 32.6 33.2 34.2
    1.8  D     0 BLACK       22 |   97   99  106  235 | 32.1 32.8 35.1
    2.0  C     0 BLACK       22 |   98   98  103  233 | 32.8 32.8 34.4
    2.0  D     0 BLACK       22 |   97   99  106  234 | 32.1 32.8 35.1
    2.3  C     0 BLACK       22 |   98  100  103  234 | 32.6 33.2 34.2
    2.3  D     0 BLACK       22 |   96   99  106  233 | 31.9 32.9 35.2
    2.5  C     0 BLACK       22 |   98  100  103  234 | 32.6 33.2 34.2
    2.5  D     0 BLACK       22 |   96   99  106  233 | 31.9 32.9 35.2
    2.8  C     0 BLACK       22 |   98  100  103  234 | 32.6 33.2 34.2
    2.8  D     0 BLACK       22 |   96   98  104  231 | 32.2 32.9 34.9
    3.0  C     0 BLACK       22 |   98   98  103  233 | 32.8 32.8 34.4
    3.0  D     0 BLACK       22 |   97   99  106  233 | 32.1 32.8 35.1
    3.3  C     0 BLACK       22 |   99  100  103  235 | 32.8 33.1 34.1
    3.3  D     0 BLACK       22 |   96   98  104  231 | 32.2 32.9 34.9
    3.5  C     0 BLACK       22 |   98  100  103  235 | 32.6 33.2 34.2
    3.5  D     0 BLACK       22 |   97   99  106  233 | 32.1 32.8 35.1
    3.8  C     0 BLACK       22 |   98  100  103  234 | 32.6 33.2 34.2
    3.8  D     0 BLACK       22 |   97   99  106  234 | 32.1 32.8 35.1
    4.0  C     0 BLACK       22 |   98   98  103  233 | 32.8 32.8 34.4
    4.0  D     0 BLACK       22 |   96   99  104  232 | 32.1 33.1 34.8
    4.3  C     0 BLACK       22 |   98   98  103  233 | 32.8 32.8 34.4
    4.3  D     0 BLACK       22 |   97   99  106  234 | 32.1 32.8 35.1
    4.5  C     0 BLACK       22 |   98   98  103  233 | 32.8 32.8 34.4
    4.5  D     0 BLACK       22 |   96   98  104  231 | 32.2 32.9 34.9
    4.8  C     0 BLACK       22 |   98  100  103  235 | 32.6 33.2 34.2
    4.8  D     0 BLACK       22 |   96   99  104  232 | 32.1 33.1 34.8
    5.0  C     0 BLACK       22 |   98   98  103  233 | 32.8 32.8 34.4
    5.0  D     0 BLACK       22 |   96   99  106  233 | 31.9 32.9 35.2
    5.3  C     0 BLACK       22 |   98  100  103  234 | 32.6 33.2 34.2
    5.3  D     0 BLACK       22 |   97  101  106  235 | 31.9 33.2 34.9
    5.5  C     0 BLACK       22 |   98   98  103  233 | 32.8 32.8 34.4
    5.5  D     0 BLACK       22 |   97   99  106  234 | 32.1 32.8 35.1
    5.8  C     0 BLACK       22 |   98  100  103  235 | 32.6 33.2 34.2
    5.8  D     0 BLACK       22 |   97   99  106  234 | 32.1 32.8 35.1
    6.0  C     0 BLACK       22 |   99  100  103  235 | 32.8 33.1 34.1
    6.0  D     0 BLACK       22 |   97  101  106  235 | 31.9 33.2 34.9
    6.3  C     0 BLACK       22 |   98   98  103  233 | 32.8 32.8 34.4
    6.3  D     0 BLACK       22 |   97   99  106  234 | 32.1 32.8 35.1
    6.5  C     0 BLACK       22 |   98  100  103  234 | 32.6 33.2 34.2
    6.5  D     0 BLACK       22 |   97   99  106  233 | 32.1 32.8 35.1
    6.8  C     0 BLACK       22 |   98  100  103  234 | 32.6 33.2 34.2
    6.8  D     0 BLACK       22 |   96   99  106  232 | 31.9 32.9 35.2
    7.0  C     0 BLACK       22 |   98   98  103  233 | 32.8 32.8 34.4
    7.0  D     0 BLACK       22 |   97  101  106  235 | 31.9 33.2 34.9
    7.3  C     0 BLACK       22 |   98   98  103  233 | 32.8 32.8 34.4
    7.3  D     0 BLACK       22 |   96   99  104  232 | 32.1 33.1 34.8
    7.5  C     0 BLACK       22 |   99  100  103  235 | 32.8 33.1 34.1
    7.5  D     0 BLACK       22 |   96   99  104  231 | 32.1 33.1 34.8
    7.8  C     0 BLACK       22 |   98  100  103  234 | 32.6 33.2 34.2
    7.8  D     0 BLACK       22 |   97   99  106  233 | 32.1 32.8 35.1
    8.0  C     0 BLACK       22 |   98   98  103  233 | 32.8 32.8 34.4
    8.0  D     0 BLACK       22 |   97   99  106  233 | 32.1 32.8 35.1
    8.3  C     0 BLACK       22 |   98  100  103  234 | 32.6 33.2 34.2
    8.3  D     0 BLACK       22 |   97   99  106  234 | 32.1 32.8 35.1
    8.5  C     0 BLACK       22 |   98  100  103  235 | 32.6 33.2 34.2
    8.5  D     0 BLACK       22 |   97  101  106  235 | 31.9 33.2 34.9
    8.8  C     0 BLACK       22 |   98   98  103  233 | 32.8 32.8 34.4
    8.8  D     0 BLACK       22 |   97  101  106  235 | 31.9 33.2 34.9
    9.0  C     0 BLACK       22 |   98  100  103  235 | 32.6 33.2 34.2
    9.0  D     0 BLACK       22 |   97   99  106  233 | 32.1 32.8 35.1
    9.3  C     0 BLACK       22 |   99  100  103  235 | 32.8 33.1 34.1
    9.3  D     0 BLACK       22 |   96   99  106  232 | 31.9 32.9 35.2
    9.5  C     0 BLACK       22 |   98   98  103  233 | 32.8 32.8 34.4
    9.5  D     0 BLACK       22 |   97  101  106  235 | 31.9 33.2 34.9
    9.8  C     0 BLACK       22 |   98  100  103  235 | 32.6 33.2 34.2
    9.8  D     0 BLACK       22 |   97   99  106  234 | 32.1 32.8 35.1
   10.0  C     0 BLACK       22 |   98  100  103  235 | 32.6 33.2 34.2
   10.0  D     0 BLACK       22 |   97   99  106  234 | 32.1 32.8 35.1
   10.3  C     0 BLACK       22 |   98   98  103  233 | 32.8 32.8 34.4
   10.3  D     0 BLACK       22 |   97  101  106  235 | 31.9 33.2 34.9
   10.5  C     0 BLACK       22 |   98   98  103  233 | 32.8 32.8 34.4
   10.5  D     0 BLACK       22 |   97   99  106  234 | 32.1 32.8 35.1
   10.8  C     0 BLACK       22 |   98  100  103  235 | 32.6 33.2 34.2
   10.8  D     0 BLACK       22 |   97  101  106  235 | 31.9 33.2 34.9
   11.0  C     0 BLACK       22 |   98  100  103  235 | 32.6 33.2 34.2
   11.0  D     0 BLACK       22 |   96   98  104  231 | 32.2 32.9 34.9
   11.3  C     0 BLACK       22 |   98  100  103  235 | 32.6 33.2 34.2
   11.3  D     0 BLACK       22 |   96   98  104  231 | 32.2 32.9 34.9
   11.5  C     0 BLACK       22 |   98  100  103  235 | 32.6 33.2 34.2
   11.5  D     0 BLACK       22 |   96   99  106  232 | 31.9 32.9 35.2
   11.8  C     0 BLACK       22 |   98   98  103  233 | 32.8 32.8 34.4
   11.8  D     0 BLACK       22 |   97  101  106  235 | 31.9 33.2 34.9
   12.0  C     0 BLACK       22 |   99  100  103  235 | 32.8 33.1 34.1
   12.0  D     0 BLACK       22 |   97  101  106  235 | 31.9 33.2 34.9
   12.3  C     0 BLACK       22 |   98   98  103  233 | 32.8 32.8 34.4
   12.3  D     0 BLACK       22 |   96   99  104  232 | 32.1 33.1 34.8
   12.6  C     0 BLACK       22 |   98   98  103  233 | 32.8 32.8 34.4
   12.6  D     0 BLACK       22 |   96   99  104  231 | 32.1 33.1 34.8
   12.8  C     0 BLACK       22 |   98  100  103  235 | 32.6 33.2 34.2
   12.8  D     0 BLACK       22 |   97   99  106  233 | 32.1 32.8 35.1
   13.1  C     0 BLACK       22 |   98   98  103  233 | 32.8 32.8 34.4
   13.1  D     0 BLACK       22 |   97  101  106  235 | 31.9 33.2 34.9
   13.3  C     0 BLACK       22 |   98   98  103  233 | 32.8 32.8 34.4
   13.3  D     0 BLACK       22 |   96   99  106  233 | 31.9 32.9 35.2
   13.6  C     0 BLACK       22 |   99  100  103  235 | 32.8 33.1 34.1
   13.6  D     0 BLACK       22 |   96   99  106  233 | 31.9 32.9 35.2
   13.8  C     0 BLACK       22 |   99  100  103  235 | 32.8 33.1 34.1
   13.8  D     0 BLACK       22 |   96   99  106  233 | 31.9 32.9 35.2
   14.1  C     0 BLACK       22 |   98  100  103  235 | 32.6 33.2 34.2
   14.1  D     0 BLACK       22 |   97   99  106  234 | 32.1 32.8 35.1
   14.3  C     0 BLACK       22 |   98   98  103  233 | 32.8 32.8 34.4
   14.3  D     0 BLACK       22 |   97   99  106  234 | 32.1 32.8 35.1
   14.6  C     0 BLACK       22 |   99  100  103  235 | 32.8 33.1 34.1
   14.6  D     0 BLACK       22 |   97  101  106  235 | 31.9 33.2 34.9
   14.8  C     0 BLACK       22 |   98  100  103  235 | 32.6 33.2 34.2
   14.8  D     0 BLACK       22 |   97  101  106  235 | 31.9 33.2 34.9
   15.1  C     0 BLACK       22 |   98  100  103  235 | 32.6 33.2 34.2
   15.1  D     0 BLACK       22 |   97  101  106  235 | 31.9 33.2 34.9
   15.3  C     0 BLACK       22 |   97   98  103  233 | 32.6 32.9 34.6
   15.3  D     0 BLACK       22 |   97   99  106  234 | 32.1 32.8 35.1
   15.6  C     0 BLACK       22 |   98  100  103  234 | 32.6 33.2 34.2
   15.6  D     0 BLACK       22 |   96   99  104  232 | 32.1 33.1 34.8
   15.8  C     0 BLACK       22 |   98  100  103  235 | 32.6 33.2 34.2
   15.8  D     0 BLACK       22 |   97   99  106  234 | 32.1 32.8 35.1
   16.1  C     0 BLACK       22 |   98  100  103  234 | 32.6 33.2 34.2
   16.1  D     0 BLACK       22 |   97  101  106  235 | 31.9 33.2 34.9
   16.3  C     0 BLACK       22 |   98  100  103  235 | 32.6 33.2 34.2
   16.3  D     0 BLACK       22 |   96   98  104  231 | 32.2 32.9 34.9
   16.6  C     0 BLACK       22 |   98  100  103  235 | 32.6 33.2 34.2
   16.6  D     0 BLACK       22 |   97  101  106  235 | 31.9 33.2 34.9
   16.8  C     0 BLACK       22 |   98   98  103  233 | 32.8 32.8 34.4
   16.8  D     0 BLACK       22 |   97   99  106  233 | 32.1 32.8 35.1
   17.1  C     0 BLACK       22 |   98   98  103  233 | 32.8 32.8 34.4
   17.1  D     0 BLACK       22 |   97   99  106  234 | 32.1 32.8 35.1
   17.3  C     0 BLACK       22 |   98  100  103  235 | 32.6 33.2 34.2
   17.3  D     0 BLACK       22 |   97   99  106  234 | 32.1 32.8 35.1
   17.6  C     0 BLACK       22 |   98   98  103  234 | 32.8 32.8 34.4
   17.6  D     0 BLACK       22 |   97   99  106  233 | 32.1 32.8 35.1
   17.8  C     0 BLACK       22 |   98  100  103  234 | 32.6 33.2 34.2
   17.8  D     0 BLACK       22 |   97   99  106  234 | 32.1 32.8 35.1
   18.1  C     0 BLACK       22 |   98  100  103  235 | 32.6 33.2 34.2
   18.1  D     0 BLACK       22 |   97  101  106  235 | 31.9 33.2 34.9
   18.3  C     0 BLACK       22 |   99  100  103  235 | 32.8 33.1 34.1
   18.3  D     0 BLACK       22 |   96   98  104  231 | 32.2 32.9 34.9
   18.6  C     0 BLACK       22 |   98   98  103  233 | 32.8 32.8 34.4
   18.6  D     0 BLACK       22 |   96   98  104  231 | 32.2 32.9 34.9
   18.8  C     0 BLACK       22 |   98  100  103  235 | 32.6 33.2 34.2
   18.8  D     0 BLACK       22 |   97  101  106  235 | 31.9 33.2 34.9
   19.1  C     0 BLACK       22 |   98   98  103  233 | 32.8 32.8 34.4
   19.1  D     0 BLACK       22 |   96   99  106  233 | 31.9 32.9 35.2
   19.3  C     0 BLACK       22 |   98   98  103  233 | 32.8 32.8 34.4
   19.3  D     0 BLACK       22 |   97   99  106  234 | 32.1 32.8 35.1
   19.6  C     0 BLACK       22 |   98   98  103  234 | 32.8 32.8 34.4
   19.6  D     0 BLACK       22 |   97   99  106  234 | 32.1 32.8 35.1
   19.8  C     0 BLACK       22 |   99  100  103  235 | 32.8 33.1 34.1
   19.8  D     0 BLACK       22 |   97  101  106  235 | 31.9 33.2 34.9
   20.1  C     0 BLACK       22 |   98  100  103  235 | 32.6 33.2 34.2
   20.1  D     0 BLACK       22 |   96   99  104  232 | 32.1 33.1 34.8
   20.3  C     0 BLACK       22 |   99  100  103  235 | 32.8 33.1 34.1
   20.3  D     0 BLACK       22 |   97  101  106  235 | 31.9 33.2 34.9
   20.6  C     0 BLACK       22 |   98   98  103  233 | 32.8 32.8 34.4
   20.6  D     0 BLACK       22 |   97   99  106  233 | 32.1 32.8 35.1
   20.8  C     0 BLACK       22 |   98  100  103  234 | 32.6 33.2 34.2
   20.8  D     0 BLACK       22 |   97   99  106  234 | 32.1 32.8 35.1
   21.1  C     0 BLACK       22 |   98  100  103  234 | 32.6 33.2 34.2
   21.1  D     0 BLACK       22 |   96   99  104  232 | 32.1 33.1 34.8
   21.3  C     0 BLACK       22 |   98  100  103  234 | 32.6 33.2 34.2
   21.3  D     0 BLACK       22 |   97   99  106  234 | 32.1 32.8 35.1
   21.6  C     0 BLACK       22 |   98   98  103  233 | 32.8 32.8 34.4
   21.6  D     0 BLACK       22 |   96   99  106  233 | 31.9 32.9 35.2
   21.8  C     0 BLACK       22 |   98   98  103  234 | 32.8 32.8 34.4
   21.8  D     0 BLACK       23 |   98  101  106  236 | 32.1 33.1 34.8
   22.1  C     0 BLACK       22 |   98   98  103  233 | 32.8 32.8 34.4
   22.1  D     0 BLACK       22 |   98  101  106  235 | 32.1 33.1 34.8
   22.3  C     0 BLACK       22 |   98  100  103  234 | 32.6 33.2 34.2
   22.3  D     0 BLACK       22 |   97   99  106  234 | 32.1 32.8 35.1
   22.6  C     0 BLACK       22 |   98   98  103  233 | 32.8 32.8 34.4
   22.6  D     0 BLACK       22 |   96   99  104  232 | 32.1 33.1 34.8
   22.8  C     0 BLACK       22 |   98  100  103  234 | 32.6 33.2 34.2
   22.8  D     0 BLACK       22 |   96   99  106  232 | 31.9 32.9 35.2
   23.1  C     0 BLACK       22 |   98  100  103  235 | 32.6 33.2 34.2
   23.1  D     0 BLACK       22 |   97   99  106  234 | 32.1 32.8 35.1
