# ran: examples/color_live.py
# NOTE: this is program OUTPUT; the source is in examples/color_live.py

# examples/color_live.py — stream BOTH colour sensors so surfaces can be compared live.
==========================================================================
COLOUR SENSORS -- LIVE. Hold each surface under sensor C and keep it still.
==========================================================================

  Surfaces that matter: floor | YELLOW note | BLUE tape | SILVER tape
  Watch the 'name' column and the r:g:b ratios, not the raw numbers.

   t(s)  P  color name      refl |   r    g    b    i | r%%   g%%   b%%
  ----------------------------------------------------------------------
    0.0  C    10 WHITE       77 |  345  355  341  789 | 33.1 34.1 32.8
    0.0  D     0 BLACK       14 |   69   66   58  149 | 35.8 34.2 30.1
    0.3  C    10 WHITE       76 |  343  352  339  782 | 33.2 34.0 32.8
    0.3  D     0 BLACK       14 |   68   65   56  147 | 36.0 34.4 29.6
    0.5  C    10 WHITE       77 |  346  356  343  789 | 33.1 34.1 32.8
    0.5  D     0 BLACK       14 |   69   66   58  148 | 35.8 34.2 30.1
    0.8  C    10 WHITE       77 |  346  355  343  790 | 33.1 34.0 32.9
    0.8  D     0 BLACK       14 |   69   66   58  148 | 35.8 34.2 30.1
    1.0  C    10 WHITE       76 |  343  352  339  781 | 33.2 34.0 32.8
    1.0  D     0 BLACK       14 |   69   66   58  148 | 35.8 34.2 30.1
    1.3  C    10 WHITE       76 |  343  352  339  785 | 33.2 34.0 32.8
    1.3  D     0 BLACK       14 |   69   66   58  149 | 35.8 34.2 30.1
    1.5  C    10 WHITE       77 |  347  356  343  793 | 33.2 34.0 32.8
    1.5  D     0 BLACK       14 |   70   67   58  151 | 35.9 34.4 29.7
    1.8  C    10 WHITE       77 |  350  357  343  795 | 33.3 34.0 32.7
    1.8  D     0 BLACK       15 |   73   69   61  157 | 36.0 34.0 30.0
    2.0  C    10 WHITE       78 |  354  363  346  801 | 33.3 34.1 32.5
    2.0  D     0 BLACK       15 |   73   70   61  158 | 35.8 34.3 29.9
    2.3  C    10 WHITE       78 |  355  363  346  802 | 33.4 34.1 32.5
    2.3  D     0 BLACK       15 |   74   70   61  159 | 36.1 34.1 29.8
    2.5  C    10 WHITE       78 |  355  363  346  805 | 33.4 34.1 32.5
    2.5  D     0 BLACK       15 |   74   71   61  160 | 35.9 34.5 29.6
    2.8  C    10 WHITE       79 |  357  364  348  812 | 33.4 34.1 32.6
    2.8  D     0 BLACK       15 |   73   70   61  158 | 35.8 34.3 29.9
    3.0  C    10 WHITE       79 |  360  368  352  813 | 33.3 34.1 32.6
    3.0  D     0 BLACK       15 |   74   71   61  160 | 35.9 34.5 29.6
    3.3  C    10 WHITE       79 |  359  367  352  812 | 33.3 34.0 32.7
    3.3  D     0 BLACK       15 |   74   70   61  159 | 36.1 34.1 29.8
    3.5  C    10 WHITE       80 |  361  368  352  821 | 33.4 34.0 32.6
    3.5  D     0 BLACK       15 |   75   71   61  161 | 36.2 34.3 29.5
    3.8  C    10 WHITE       79 |  361  369  354  817 | 33.3 34.0 32.7
    3.8  D     0 BLACK       15 |   73   70   61  158 | 35.8 34.3 29.9
    4.0  C    10 WHITE       80 |  362  369  354  823 | 33.4 34.0 32.6
    4.0  D     0 BLACK       15 |   74   70   61  159 | 36.1 34.1 29.8
    4.3  C    10 WHITE       80 |  362  369  354  824 | 33.4 34.0 32.6
    4.3  D     0 BLACK       15 |   73   69   61  156 | 36.0 34.0 30.0
    4.5  C    10 WHITE       79 |  359  367  352  816 | 33.3 34.0 32.7
    4.5  D     0 BLACK       15 |   73   70   61  158 | 35.8 34.3 29.9
    4.8  C    10 WHITE       79 |  360  368  352  819 | 33.3 34.1 32.6
    4.8  D     0 BLACK       15 |   73   70   61  157 | 35.8 34.3 29.9
    5.0  C    10 WHITE       79 |  360  368  352  816 | 33.3 34.1 32.6
    5.0  D     0 BLACK       15 |   72   69   59  156 | 36.0 34.5 29.5
    5.3  C    10 WHITE       80 |  362  369  354  820 | 33.4 34.0 32.6
    5.3  D     0 BLACK       15 |   73   70   61  158 | 35.8 34.3 29.9
    5.5  C    10 WHITE       79 |  359  365  350  814 | 33.4 34.0 32.6
    5.5  D     0 BLACK       15 |   73   70   61  157 | 35.8 34.3 29.9
    5.8  C    10 WHITE       79 |  362  369  354  819 | 33.4 34.0 32.6
    5.8  D     0 BLACK       15 |   73   70   61  157 | 35.8 34.3 29.9
    6.0  C    10 WHITE       79 |  363  371  354  818 | 33.4 34.1 32.5
    6.0  D     0 BLACK       15 |   72   69   59  156 | 36.0 34.5 29.5
    6.3  C    10 WHITE       80 |  363  371  354  826 | 33.4 34.1 32.5
    6.3  D     0 BLACK       15 |   72   69   59  155 | 36.0 34.5 29.5
    6.5  C    10 WHITE       80 |  363  371  356  824 | 33.3 34.0 32.7
    6.5  D     0 BLACK       15 |   73   70   61  158 | 35.8 34.3 29.9
    6.8  C    10 WHITE       80 |  363  371  356  820 | 33.3 34.0 32.7
    6.8  D     0 BLACK       15 |   74   70   61  159 | 36.1 34.1 29.8
    7.0  C    10 WHITE       80 |  363  371  354  826 | 33.4 34.1 32.5
    7.0  D     0 BLACK       15 |   74   70   61  158 | 36.1 34.1 29.8
    7.3  C    10 WHITE       79 |  361  368  352  819 | 33.4 34.0 32.6
    7.3  D     0 BLACK       15 |   73   70   61  158 | 35.8 34.3 29.9
    7.5  C    10 WHITE       79 |  360  368  352  817 | 33.3 34.1 32.6
    7.5  D     0 BLACK       15 |   73   70   61  157 | 35.8 34.3 29.9
    7.8  C    10 WHITE       79 |  361  368  352  817 | 33.4 34.0 32.6
    7.8  D     0 BLACK       15 |   72   69   59  156 | 36.0 34.5 29.5
    8.0  C    10 WHITE       80 |  361  369  354  822 | 33.3 34.0 32.7
    8.0  D     0 BLACK       14 |   70   67   58  151 | 35.9 34.4 29.7
    8.3  C    10 WHITE       80 |  363  371  354  820 | 33.4 34.1 32.5
    8.3  D     0 BLACK       14 |   71   67   59  152 | 36.0 34.0 29.9
    8.5  C    10 WHITE       80 |  365  372  358  825 | 33.3 34.0 32.7
    8.5  D     0 BLACK       14 |   70   67   58  151 | 35.9 34.4 29.7
    8.8  C    10 WHITE       80 |  364  372  358  825 | 33.3 34.0 32.7
    8.8  D     0 BLACK       14 |   70   66   58  150 | 36.1 34.0 29.9
    9.0  C    10 WHITE       80 |  364  372  358  827 | 33.3 34.0 32.7
    9.0  D     0 BLACK       14 |   70   66   58  150 | 36.1 34.0 29.9
    9.3  C    10 WHITE       80 |  363  371  354  827 | 33.4 34.1 32.5
    9.3  D     0 BLACK       14 |   70   66   58  150 | 36.1 34.0 29.9
    9.5  C    10 WHITE       80 |  363  371  354  821 | 33.4 34.1 32.5
    9.5  D     0 BLACK       14 |   71   67   58  152 | 36.2 34.2 29.6
    9.8  C    10 WHITE       78 |  352  360  346  803 | 33.3 34.0 32.7
    9.8  D     0 BLACK       14 |   67   63   56  144 | 36.0 33.9 30.1
   10.0  C    10 WHITE       78 |  352  361  346  799 | 33.2 34.1 32.7
   10.0  D     0 BLACK       13 |   66   63   54  143 | 36.1 34.4 29.5
   10.3  C    10 WHITE       78 |  349  359  344  799 | 33.2 34.1 32.7
   10.3  D     0 BLACK       13 |   66   63   54  142 | 36.1 34.4 29.5
   10.5  C    10 WHITE       77 |  349  359  344  795 | 33.2 34.1 32.7
   10.5  D     0 BLACK       13 |   67   63   54  143 | 36.4 34.2 29.3
   10.8  C    10 WHITE       77 |  347  357  343  793 | 33.1 34.1 32.8
   10.8  D     0 BLACK       13 |   66   63   54  143 | 36.1 34.4 29.5
   11.0  C    10 WHITE       77 |  350  360  346  795 | 33.1 34.1 32.8
   11.0  D     0 BLACK       13 |   67   63   56  143 | 36.0 33.9 30.1
   11.3  C    10 WHITE       77 |  350  359  346  795 | 33.2 34.0 32.8
   11.3  D     0 BLACK       13 |   66   62   54  141 | 36.3 34.1 29.7
   11.5  C    10 WHITE       77 |  350  360  346  798 | 33.1 34.1 32.8
   11.5  D     0 BLACK       13 |   65   62   54  140 | 35.9 34.3 29.8
   11.8  C    10 WHITE       77 |  350  359  346  796 | 33.2 34.0 32.8
   11.8  D     0 BLACK       13 |   65   62   54  141 | 35.9 34.3 29.8
   12.1  C    10 WHITE       78 |  349  359  346  800 | 33.1 34.1 32.8
   12.1  D     0 BLACK       13 |   66   63   54  142 | 36.1 34.4 29.5
   12.3  C    10 WHITE       77 |  349  359  346  793 | 33.1 34.1 32.8
   12.3  D     0 BLACK       13 |   66   63   54  142 | 36.1 34.4 29.5
   12.6  C    10 WHITE       77 |  350  359  346  793 | 33.2 34.0 32.8
   12.6  D     0 BLACK       13 |   66   63   54  142 | 36.1 34.4 29.5
   12.8  C    10 WHITE       78 |  349  359  346  800 | 33.1 34.1 32.8
   12.8  D     0 BLACK       13 |   66   62   54  141 | 36.3 34.1 29.7
   13.1  C    10 WHITE       77 |  347  356  344  794 | 33.1 34.0 32.9
   13.1  D     0 BLACK       13 |   66   62   54  142 | 36.3 34.1 29.7
   13.3  C    10 WHITE       78 |  350  360  346  800 | 33.1 34.1 32.8
   13.3  D     0 BLACK       13 |   66   62   54  141 | 36.3 34.1 29.7
   13.6  C    10 WHITE       77 |  350  360  346  798 | 33.1 34.1 32.8
   13.6  D     0 BLACK       13 |   66   62   54  142 | 36.3 34.1 29.7
   13.8  C    10 WHITE       78 |  350  360  346  801 | 33.1 34.1 32.8
   13.8  D     0 BLACK       13 |   66   62   54  141 | 36.3 34.1 29.7
   14.1  C    10 WHITE       77 |  348  357  346  792 | 33.1 34.0 32.9
   14.1  D     0 BLACK       13 |   66   62   54  141 | 36.3 34.1 29.7
   14.3  C    10 WHITE       77 |  347  356  344  793 | 33.1 34.0 32.9
   14.3  D     0 BLACK       13 |   65   62   54  140 | 35.9 34.3 29.8
   14.6  C    10 WHITE       77 |  347  356  344  794 | 33.1 34.0 32.9
   14.6  D     0 BLACK       13 |   65   62   54  139 | 35.9 34.3 29.8
   14.8  C    10 WHITE       77 |  347  356  344  793 | 33.1 34.0 32.9
   14.8  D     0 BLACK       13 |   64   61   53  138 | 36.0 34.3 29.8
