seq,t_ms,phase,lane,x,y,yaw_rel,encyaw,reflC,rC,gC,bC,reflD,rD,gD,bD,count,event
4,142,lane,0,7,0,-11,-6,4,18,21,24,5,22,25,27,0,
8,470,lane,0,63,0,11,10,7,32,32,32,5,21,25,27,0,
12,636,lane,0,86,-1,11,6,3,12,17,20,5,21,24,26,0,
16,803,lane,0,111,-1,0,-6,4,18,21,24,4,18,21,24,0,
20,970,lane,0,136,-1,0,-10,5,24,26,28,4,16,21,23,0,
24,1136,lane,0,160,-1,2,-6,7,35,36,37,7,31,33,34,0,
28,1303,lane,0,185,-1,-2,-3,4,21,24,26,6,29,30,30,0,
32,1469,lane,0,211,-1,0,-6,7,34,36,36,4,18,21,24,0,
36,1635,lane,0,235,-1,4,0,7,33,33,34,5,26,28,29,0,
40,1802,lane,0,260,-1,1,-6,6,28,32,33,4,19,22,26,0,
44,1969,lane,0,284,-1,6,-6,31,156,159,106,6,28,30,32,0,
44,2054,lane,0,297,-1,10,-3,73,364,363,227,6,26,29,31,1,MINE 1 at 296,43
48,2180,lane,0,317,-1,3,-6,69,341,342,214,5,24,26,29,1,
52,2347,lane,0,342,-2,4,-6,5,21,24,25,5,23,26,29,1,
56,2513,lane,0,366,-2,-3,-10,6,27,29,31,5,21,24,26,1,
60,2679,lane,0,391,-1,-10,-6,6,27,28,29,6,27,30,32,1,
64,2846,lane,0,416,-1,-13,-13,4,19,22,24,5,25,27,29,1,
68,3013,lane,0,442,0,-2,-6,7,32,33,34,4,19,21,24,1,
72,3180,lane,0,465,-1,8,-3,6,28,29,30,4,20,22,24,1,
76,3346,lane,0,490,-1,4,-3,6,26,29,31,3,14,17,21,1,
80,3513,lane,0,517,-1,4,-6,4,18,21,24,5,22,25,27,1,
84,3723,lane,0,547,-1,7,-6,4,20,24,27,5,21,24,26,1,
88,3889,lane,0,571,-2,-4,-6,6,26,28,28,6,27,29,29,1,
92,4056,lane,0,596,-1,-10,-13,6,27,30,31,6,26,28,29,1,
96,4222,lane,0,623,-1,-7,-6,5,23,26,28,5,24,27,29,1,
100,4389,lane,0,647,-1,-1,-6,5,24,25,28,7,30,33,34,1,
104,4555,lane,0,671,-1,5,0,5,25,27,28,6,26,28,29,1,
108,4721,lane,0,696,-1,4,0,4,16,21,24,5,24,28,31,1,
112,4888,lane,0,722,-1,-1,-10,11,33,53,79,8,24,40,58,1,
112,4891,lane,0,722,-1,-1,-10,,,,,,,,,1,LANE_END TAPE
116,5632,turn,0,677,0,-19,-33,5,24,26,29,6,27,29,30,1,
120,5846,turn,0,680,0,-154,-160,4,20,23,25,6,26,28,29,1,
124,6013,turn,0,680,0,-246,-257,6,26,29,31,6,26,28,29,1,
128,6179,turn,0,679,0,-343,-357,6,29,32,33,5,25,26,28,1,
132,6345,turn,0,679,0,-450,-461,7,30,33,35,5,24,26,29,1,
136,6512,turn,0,679,0,-547,-564,6,28,29,33,5,25,27,29,1,
140,6678,turn,0,679,0,-643,-658,6,25,27,29,6,27,28,29,1,
144,6845,turn,0,679,0,-738,-755,6,26,28,29,6,29,32,33,1,
148,7011,turn,0,679,0,-797,-812,6,28,32,33,7,33,34,34,1,
152,7178,turn,0,679,-1,-858,-868,7,30,32,33,7,35,35,35,1,
152,7421,turn,0,679,-1,-888,-905,,,,,,,,,1,TURN_DONE target=-900 got=-888
156,7598,shift,0,679,6,-896,-912,7,31,32,33,8,36,37,37,1,
160,7770,shift,0,679,36,-911,-915,5,21,24,26,8,37,38,39,1,
164,7937,shift,0,678,64,-908,-912,5,22,24,27,5,20,22,26,1,
168,8103,shift,0,678,87,-900,-905,5,21,23,25,5,23,26,29,1,
172,8269,shift,0,678,111,-897,-895,6,27,29,31,5,22,25,28,1,
176,8436,shift,0,678,135,-909,-895,7,33,34,35,4,17,21,23,1,
179,8562,shift,0,678,155,-917,-899,,,,,,,,,1,SHIFT_END Y
180,8566,turn,1,678,155,-918,-899,7,31,34,35,4,18,22,25,1,
184,8733,turn,1,677,166,-952,-942,6,28,30,31,5,21,25,27,1,
188,8900,turn,1,678,161,-1040,-1036,5,24,28,29,5,22,26,30,1,
192,9122,turn,1,679,159,-1180,-1179,6,28,30,31,5,24,27,30,1,
196,9289,turn,1,679,159,-1282,-1280,6,28,30,31,6,27,30,32,1,
200,9456,turn,1,678,160,-1375,-1376,4,18,21,26,7,31,34,35,1,
204,9623,turn,1,678,160,-1468,-1470,4,18,22,26,7,32,34,35,1,
208,9789,turn,1,678,160,-1579,-1580,4,18,21,25,7,31,33,34,1,
212,9956,turn,1,678,160,-1660,-1664,5,23,26,29,7,31,33,34,1,
216,10122,turn,1,679,160,-1685,-1687,5,22,26,29,7,30,32,35,1,
219,10488,turn,1,678,160,1795,-1811,,,,,,,,,1,TURN_DONE target=1800 got=1795
220,10492,lane,1,678,160,1795,-1811,6,25,28,30,6,26,29,31,1,
224,10659,lane,1,662,159,1786,-1828,7,34,35,36,5,24,28,29,1,
228,10885,lane,1,623,159,-1795,-1814,3,14,18,22,4,15,20,23,1,
232,11052,lane,1,599,160,-1792,-1808,6,29,31,32,7,31,33,34,1,
236,11218,lane,1,576,160,-1798,-1811,5,24,27,28,5,24,26,29,1,
240,11385,lane,1,551,160,-1796,-1818,4,18,22,26,5,23,25,29,1,
244,11551,lane,1,526,160,-1790,-1814,4,15,20,24,6,27,29,30,1,
248,11718,lane,1,501,161,-1792,-1818,4,18,21,26,6,28,31,35,1,
252,11884,lane,1,476,161,-1794,-1818,5,22,24,27,4,16,20,22,1,
256,12051,lane,1,451,161,-1800,-1828,5,24,28,30,4,18,21,24,1,
260,12217,lane,1,426,161,-1797,-1831,7,29,32,33,5,24,25,28,1,
264,12419,lane,1,397,161,-1796,-1824,5,24,27,29,5,24,27,29,1,
268,12621,lane,1,366,162,-1800,-1831,6,27,29,30,4,21,22,24,1,
272,12788,lane,1,339,161,1797,-1831,7,33,34,35,4,18,22,27,1,
276,12954,lane,1,316,161,-1798,-1821,5,24,26,29,4,19,22,25,1,
280,13120,lane,1,292,162,-1798,-1824,5,23,25,28,4,19,22,25,1,
284,13287,lane,1,266,162,1798,-1824,6,28,29,30,6,29,30,33,1,
