# surface survey -- labelled colour-sensor captures
# SV,label,port,t_ms,color_code,color_name,reflection,r,g,b,i
# --- YELLOW_NOTE  10:04:40  (5 s) ---
SV,YELLOW_NOTE,C,0,0,BLACK,31,140,145,146,327
SV,YELLOW_NOTE,D,0,0,BLACK,20,86,97,102,213
SV,YELLOW_NOTE,C,102,0,BLACK,32,141,146,148,330
SV,YELLOW_NOTE,D,102,0,BLACK,20,86,95,102,214
SV,YELLOW_NOTE,C,203,0,BLACK,32,143,146,148,332
SV,YELLOW_NOTE,D,203,0,BLACK,20,85,95,102,211
SV,YELLOW_NOTE,C,304,0,BLACK,32,142,146,148,331
SV,YELLOW_NOTE,D,304,0,BLACK,20,85,94,100,210
SV,YELLOW_NOTE,C,405,0,BLACK,32,141,146,148,330
SV,YELLOW_NOTE,D,405,0,BLACK,20,85,94,100,210
SV,YELLOW_NOTE,C,507,0,BLACK,32,142,146,148,330
SV,YELLOW_NOTE,D,507,0,BLACK,20,85,95,102,212
SV,YELLOW_NOTE,C,608,0,BLACK,32,143,146,148,332
SV,YELLOW_NOTE,D,608,0,BLACK,20,85,95,102,212
SV,YELLOW_NOTE,C,709,0,BLACK,32,142,146,148,330
SV,YELLOW_NOTE,D,709,0,BLACK,20,85,94,100,210
SV,YELLOW_NOTE,C,810,0,BLACK,32,142,146,148,330
SV,YELLOW_NOTE,D,810,0,BLACK,20,85,95,100,211
SV,YELLOW_NOTE,C,911,0,BLACK,32,142,146,148,331
SV,YELLOW_NOTE,D,911,0,BLACK,20,87,97,104,215
SV,YELLOW_NOTE,C,1012,0,BLACK,32,141,145,148,328
SV,YELLOW_NOTE,D,1012,0,BLACK,20,86,97,102,214
SV,YELLOW_NOTE,C,1113,0,BLACK,31,141,145,146,327
SV,YELLOW_NOTE,D,1113,0,BLACK,20,86,97,102,213
SV,YELLOW_NOTE,C,1214,0,BLACK,32,142,146,148,330
SV,YELLOW_NOTE,D,1214,0,BLACK,20,86,97,104,215
SV,YELLOW_NOTE,C,1315,0,BLACK,32,143,146,148,332
SV,YELLOW_NOTE,D,1315,0,BLACK,20,86,97,102,214
SV,YELLOW_NOTE,C,1416,0,BLACK,32,142,146,148,329
SV,YELLOW_NOTE,D,1416,0,BLACK,20,86,95,102,213
SV,YELLOW_NOTE,C,1517,0,BLACK,31,141,145,146,327
SV,YELLOW_NOTE,D,1517,0,BLACK,20,85,95,102,211
SV,YELLOW_NOTE,C,1618,0,BLACK,32,142,146,148,330
SV,YELLOW_NOTE,D,1618,0,BLACK,20,85,95,102,212
SV,YELLOW_NOTE,C,1719,0,BLACK,32,143,146,148,331
SV,YELLOW_NOTE,D,1719,0,BLACK,20,85,95,102,211
SV,YELLOW_NOTE,C,1820,0,BLACK,32,142,146,148,329
SV,YELLOW_NOTE,D,1820,0,BLACK,20,86,95,102,212
SV,YELLOW_NOTE,C,1921,0,BLACK,32,142,146,148,329
SV,YELLOW_NOTE,D,1921,0,BLACK,20,86,97,104,215
SV,YELLOW_NOTE,C,2022,0,BLACK,32,141,146,148,329
SV,YELLOW_NOTE,D,2022,0,BLACK,20,87,97,104,215
SV,YELLOW_NOTE,C,2123,0,BLACK,32,142,146,148,330
SV,YELLOW_NOTE,D,2123,0,BLACK,20,86,95,102,212
SV,YELLOW_NOTE,C,2224,0,BLACK,32,141,146,148,330
SV,YELLOW_NOTE,D,2224,0,BLACK,20,85,94,102,210
SV,YELLOW_NOTE,C,2325,0,BLACK,32,143,146,148,332
SV,YELLOW_NOTE,D,2325,0,BLACK,20,86,95,102,213
SV,YELLOW_NOTE,C,2427,0,BLACK,32,143,146,148,332
SV,YELLOW_NOTE,D,2427,0,BLACK,20,87,97,104,215
SV,YELLOW_NOTE,C,2528,0,BLACK,32,141,146,148,329
SV,YELLOW_NOTE,D,2528,0,BLACK,20,86,95,102,212
SV,YELLOW_NOTE,C,2629,0,BLACK,31,141,145,146,327
SV,YELLOW_NOTE,D,2629,0,BLACK,20,85,95,102,212
SV,YELLOW_NOTE,C,2730,0,BLACK,32,141,146,148,329
SV,YELLOW_NOTE,D,2730,0,BLACK,20,87,97,104,215
SV,YELLOW_NOTE,C,2831,0,BLACK,32,142,146,148,329
SV,YELLOW_NOTE,D,2831,0,BLACK,20,86,95,102,212
SV,YELLOW_NOTE,C,2932,0,BLACK,32,141,146,148,329
SV,YELLOW_NOTE,D,2932,0,BLACK,20,85,94,100,210
SV,YELLOW_NOTE,C,3033,0,BLACK,32,142,146,148,332
SV,YELLOW_NOTE,D,3033,0,BLACK,20,87,97,104,215
SV,YELLOW_NOTE,C,3134,0,BLACK,32,141,146,148,329
SV,YELLOW_NOTE,D,3134,0,BLACK,20,86,95,102,213
SV,YELLOW_NOTE,C,3235,0,BLACK,31,140,145,146,327
SV,YELLOW_NOTE,D,3235,0,BLACK,20,86,95,102,212
SV,YELLOW_NOTE,C,3336,0,BLACK,32,142,146,148,329
SV,YELLOW_NOTE,D,3336,0,BLACK,20,86,97,104,215
SV,YELLOW_NOTE,C,3437,0,BLACK,32,142,146,148,332
SV,YELLOW_NOTE,D,3437,0,BLACK,20,85,94,102,211
SV,YELLOW_NOTE,C,3538,0,BLACK,32,142,146,148,330
SV,YELLOW_NOTE,D,3538,0,BLACK,20,86,95,102,212
SV,YELLOW_NOTE,C,3639,0,BLACK,32,142,146,148,330
SV,YELLOW_NOTE,D,3639,0,BLACK,20,86,97,102,214
SV,YELLOW_NOTE,C,3740,0,BLACK,32,142,146,148,330
SV,YELLOW_NOTE,D,3740,0,BLACK,20,85,95,102,212
SV,YELLOW_NOTE,C,3841,0,BLACK,32,143,146,148,332
SV,YELLOW_NOTE,D,3841,0,BLACK,20,86,97,104,215
SV,YELLOW_NOTE,C,3942,0,BLACK,32,142,146,148,330
SV,YELLOW_NOTE,D,3942,0,BLACK,20,85,95,102,211
SV,YELLOW_NOTE,C,4043,0,BLACK,31,141,145,146,327
SV,YELLOW_NOTE,D,4043,0,BLACK,20,86,95,102,212
SV,YELLOW_NOTE,C,4144,0,BLACK,32,142,146,148,331
SV,YELLOW_NOTE,D,4144,0,BLACK,20,87,97,104,215
SV,YELLOW_NOTE,C,4246,0,BLACK,32,142,146,148,329
SV,YELLOW_NOTE,D,4246,0,BLACK,20,85,95,102,210
SV,YELLOW_NOTE,C,4348,0,BLACK,32,142,146,148,329
SV,YELLOW_NOTE,D,4348,0,BLACK,20,85,94,100,210
SV,YELLOW_NOTE,C,4449,0,BLACK,32,142,146,148,330
SV,YELLOW_NOTE,D,4449,0,BLACK,20,86,95,102,213
SV,YELLOW_NOTE,C,4550,0,BLACK,32,143,146,148,332
SV,YELLOW_NOTE,D,4550,0,BLACK,20,87,97,104,215
SV,YELLOW_NOTE,C,4651,0,BLACK,32,142,146,148,330
SV,YELLOW_NOTE,D,4651,0,BLACK,20,86,95,102,212
SV,YELLOW_NOTE,C,4752,0,BLACK,32,141,146,148,330
SV,YELLOW_NOTE,D,4752,0,BLACK,20,85,95,102,210
SV,YELLOW_NOTE,C,4853,0,BLACK,32,143,146,148,332
SV,YELLOW_NOTE,D,4853,0,BLACK,20,86,97,104,214
SV,YELLOW_NOTE,C,4954,0,BLACK,32,143,148,148,332
SV,YELLOW_NOTE,D,4954,0,BLACK,20,86,97,102,214
# --- YELLOW_NOTE  10:05:28  (15 s) ---
SV,YELLOW_NOTE,C,0,0,BLACK,31,132,144,148,319
SV,YELLOW_NOTE,D,0,0,BLACK,21,87,101,109,220
SV,YELLOW_NOTE,C,102,0,BLACK,32,137,148,151,328
SV,YELLOW_NOTE,D,102,0,BLACK,21,86,99,107,218
SV,YELLOW_NOTE,C,203,0,BLACK,31,136,146,149,325
SV,YELLOW_NOTE,D,203,0,BLACK,21,86,99,109,217
SV,YELLOW_NOTE,C,304,0,BLACK,31,136,146,149,327
SV,YELLOW_NOTE,D,304,0,BLACK,21,88,101,109,220
SV,YELLOW_NOTE,C,405,0,BLACK,32,141,150,153,336
SV,YELLOW_NOTE,D,405,0,BLACK,21,89,102,111,225
SV,YELLOW_NOTE,C,506,0,BLACK,33,141,150,153,338
SV,YELLOW_NOTE,D,506,0,BLACK,21,89,102,109,224
