# surface survey -- labelled colour-sensor captures
# SV,label,port,t_ms,color_code,color_name,reflection,r,g,b,i
# --- NEON_YELLOW  10:17:09  (15 s) ---
SV,NEON_YELLOW,C,0,-1,UNKNOWN,16,99,63,60,174
SV,NEON_YELLOW,D,0,-1,UNKNOWN,15,90,56,55,159
SV,NEON_YELLOW,C,102,-1,UNKNOWN,17,99,63,60,176
SV,NEON_YELLOW,D,102,-1,UNKNOWN,16,95,59,58,167
SV,NEON_YELLOW,C,204,-1,UNKNOWN,17,102,65,61,181
SV,NEON_YELLOW,D,204,-1,UNKNOWN,16,95,59,58,165
SV,NEON_YELLOW,C,306,-1,UNKNOWN,17,102,64,61,180
SV,NEON_YELLOW,D,306,-1,UNKNOWN,15,90,56,55,159
SV,NEON_YELLOW,C,408,-1,UNKNOWN,16,98,63,60,174
SV,NEON_YELLOW,D,408,-1,UNKNOWN,15,90,57,55,158
SV,NEON_YELLOW,C,510,-1,UNKNOWN,17,101,63,61,179
SV,NEON_YELLOW,D,510,-1,UNKNOWN,16,96,61,58,170
SV,NEON_YELLOW,C,612,-1,UNKNOWN,17,102,64,61,180
SV,NEON_YELLOW,D,612,-1,UNKNOWN,16,95,60,58,167
SV,NEON_YELLOW,C,714,-1,UNKNOWN,17,101,64,60,178
SV,NEON_YELLOW,D,714,-1,UNKNOWN,15,90,57,57,159
SV,NEON_YELLOW,C,816,-1,UNKNOWN,17,100,65,62,179
SV,NEON_YELLOW,D,816,-1,UNKNOWN,16,94,58,57,164
SV,NEON_YELLOW,C,918,7,YELLOW,35,186,169,113,361
SV,NEON_YELLOW,D,918,7,YELLOW,37,198,179,119,380
SV,NEON_YELLOW,C,1020,7,YELLOW,53,268,263,163,548
SV,NEON_YELLOW,D,1020,7,YELLOW,68,345,339,207,702
SV,NEON_YELLOW,C,1122,7,YELLOW,54,272,267,167,558
SV,NEON_YELLOW,D,1122,7,YELLOW,66,336,332,202,685
SV,NEON_YELLOW,C,1224,7,YELLOW,56,281,278,173,579
SV,NEON_YELLOW,D,1224,7,YELLOW,63,319,313,192,655
SV,NEON_YELLOW,C,1326,7,YELLOW,57,286,281,175,588
SV,NEON_YELLOW,D,1326,7,YELLOW,61,308,300,183,632
SV,NEON_YELLOW,C,1427,7,YELLOW,57,284,279,177,586
SV,NEON_YELLOW,D,1427,7,YELLOW,59,297,292,178,610
SV,NEON_YELLOW,C,1529,7,YELLOW,55,276,271,169,568
SV,NEON_YELLOW,D,1529,7,YELLOW,60,302,297,181,618
SV,NEON_YELLOW,C,1630,7,YELLOW,55,277,272,171,570
SV,NEON_YELLOW,D,1630,7,YELLOW,63,317,310,188,647
SV,NEON_YELLOW,C,1731,7,YELLOW,56,283,278,173,583
SV,NEON_YELLOW,D,1731,7,YELLOW,62,314,307,188,643
SV,NEON_YELLOW,C,1832,7,YELLOW,55,277,273,171,570
SV,NEON_YELLOW,D,1832,7,YELLOW,59,297,293,178,612
SV,NEON_YELLOW,C,1933,7,YELLOW,54,272,269,167,562
SV,NEON_YELLOW,D,1933,7,YELLOW,60,305,299,185,624
SV,NEON_YELLOW,C,2034,7,YELLOW,56,281,276,173,581
SV,NEON_YELLOW,D,2034,7,YELLOW,63,316,310,190,650
